AQS Code	TCEQ Region	Reg#	Latitude	Longitude
481130001	DALLAS/FORT WORTH	04	0	0
481130002	DALLAS/FORT WORTH	04	32.7444440	-96.8736110
481130003	DALLAS/FORT WORTH	04	32.7719440	-96.8361110
481130004	DALLAS/FORT WORTH	04	32.8138890	-96.8708330
481130005	DALLAS/FORT WORTH	04	32.7736110	-96.9041670
481130008	DALLAS/FORT WORTH	04	32.8361110	-96.8361110
481130011	DALLAS/FORT WORTH	04	32.7736110	-96.7958330
481130012	DALLAS/FORT WORTH	04	32.7861110	-96.8055560
481130018	DALLAS/FORT WORTH	04	32.7449810	-96.7818829
481130020	DALLAS/FORT WORTH	04	32.6922220	-96.7925000
481130023	DALLAS/FORT WORTH	04	32.7805560	-96.8555560
481130027	DALLAS/FORT WORTH	04	32.7361110	-96.6861110
481130028	DALLAS/FORT WORTH	04	32.8638890	-96.7027780
481130029	DALLAS/FORT WORTH	04	32.8650000	-96.8086110
481130035	DALLAS/FORT WORTH	04	32.9166670	-96.7686110
481130036	DALLAS/FORT WORTH	04	32.7722220	-96.7472220
481130038	DALLAS/FORT WORTH	04	32.8069440	-96.6958330
481130039	DALLAS/FORT WORTH	04	32.8722220	-96.8875000
481130040	DALLAS/FORT WORTH	04	32.7194440	-96.8902780
481130042	DALLAS/FORT WORTH	04	32.8166670	-96.7500000
481130044	DALLAS/FORT WORTH	04	32.8258330	-96.8638890
481130045	DALLAS/FORT WORTH	04	32.9197220	-96.8080560
481130046	DALLAS/FORT WORTH	04	32.7702780	-96.7658330
481130047	DALLAS/FORT WORTH	04	32.7850000	-96.7936110
481130048	DALLAS/FORT WORTH	04	32.7736110	-96.9041670
481130049	DALLAS/FORT WORTH	04	32.7836110	-96.8611110
481130050	DALLAS/FORT WORTH	04	32.7742622	-96.7976859
481130051	DALLAS/FORT WORTH	04	32.7847220	-96.8333330
481130052	DALLAS/FORT WORTH	04	32.7194440	-96.8908330
481130053	DALLAS/FORT WORTH	04	32.7833330	-96.7972220
481130055	DALLAS/FORT WORTH	04	32.6163890	-96.7569440
481130056	DALLAS/FORT WORTH	04	32.7352780	-96.7741670
481130057	DALLAS/FORT WORTH	04	32.7791925	-96.8732943
481130058	DALLAS/FORT WORTH	04	32.7797220	-96.8744440
481130059	DALLAS/FORT WORTH	04	32.7755560	-96.8708330
481130060	DALLAS/FORT WORTH	04	32.7361110	-96.7816670
481130061	DALLAS/FORT WORTH	04	32.7853591	-96.8765711
481130063	DALLAS/FORT WORTH	04	32.7738890	-96.8775000
481130064	DALLAS/FORT WORTH	04	32.7377780	-96.7797220
481130065	DALLAS/FORT WORTH	04	32.7375000	-96.7822220
481130066	DALLAS/FORT WORTH	04	32.7397220	-96.7827780
481130067	DALLAS/FORT WORTH	04	32.7797220	-96.8755560
481130068	DALLAS/FORT WORTH	04	32.7691670	-96.8775000
481130069	DALLAS/FORT WORTH	04	32.8200608	-96.8601165
481130070	DALLAS/FORT WORTH	04	32.7647220	-96.9294440
481130071	DALLAS/FORT WORTH	04	32.9216670	-96.9161110
481130072	DALLAS/FORT WORTH	04	32.5888890	-96.9633330
481130073	DALLAS/FORT WORTH	04	32.8097220	-96.8697220
481130075	DALLAS/FORT WORTH	04	32.9192056	-96.8084975
481130086	DALLAS/FORT WORTH	04	32.9861000	-96.7619440
481130087	DALLAS/FORT WORTH	04	32.6764506	-96.8720596
481131001	DALLAS/FORT WORTH	04	32.9155560	-96.6380560
481131002	DALLAS/FORT WORTH	04	32.9266670	-96.6388890
481131003	DALLAS/FORT WORTH	04	0	0
481131004	DALLAS/FORT WORTH	04	32.9838890	-96.6655560
481131005	DALLAS/FORT WORTH	04	0	0
481131006	DALLAS/FORT WORTH	04	32.9105560	-96.6691670
481131047	DALLAS/FORT WORTH	04	32.7736110	-96.5527780
481131067	DALLAS/FORT WORTH	04	32.9211800	-96.7535500
481131500	DALLAS/FORT WORTH	04	32.6300110	-96.8005990
481131505	DALLAS/FORT WORTH	04	32.8791070	-96.9135520
481132001	DALLAS/FORT WORTH	04	32.7580560	-96.9666670
481132002	DALLAS/FORT WORTH	04	32.7416670	-97.0083330
481132003	DALLAS/FORT WORTH	04	32.7422220	-96.9500000
481132004	DALLAS/FORT WORTH	04	32.7205560	-96.9833330
481132005	DALLAS/FORT WORTH	04	32.7433330	-97.0200000
481133001	DALLAS/FORT WORTH	04	32.8561110	-96.9683330
481133002	DALLAS/FORT WORTH	04	32.8233330	-96.9336110
481133003	DALLAS/FORT WORTH	04	32.7693798	-96.5462988
481133004	DALLAS/FORT WORTH	04	32.7106000	-96.8033000
481210001	DALLAS/FORT WORTH	04	33.2166670	-97.1333330
481210002	DALLAS/FORT WORTH	04	33.1861110	-97.1938890
481210033	DALLAS/FORT WORTH	04	33.2061110	-97.1952780
481210034	DALLAS/FORT WORTH	04	33.2190690	-97.1962836
481210054	DALLAS/FORT WORTH	04	33.0719440	-96.8613890
481211001	DALLAS/FORT WORTH	04	33.0644440	-97.0058330
481211007	DALLAS/FORT WORTH	04	33.0458619	-97.1300022
481211013	DALLAS/FORT WORTH	04	33.1309300	-97.2976500
481211032	DALLAS/FORT WORTH	04	33.4106476	-96.9445903
481215008	DALLAS/FORT WORTH	04	33.2061110	-97.1988890
481231602	CORPUS CHRISTI	14	29.1347790	-97.2765750
481350001	MIDLAND	07	31.8733330	-102.3458330
481350002	MIDLAND	07	31.8722220	-102.3525000
481350003	MIDLAND	07	31.8365747	-102.3420368
481350004	MIDLAND	07	31.8263890	-102.3083330
481351014	MIDLAND	07	31.8702534	-102.3347563
481390001	DALLAS/FORT WORTH	04	32.4838890	-96.9944440
481390002	DALLAS/FORT WORTH	04	32.4358330	-96.6713890
481390003	DALLAS/FORT WORTH	04	32.3883330	-96.8472220
481390004	DALLAS/FORT WORTH	04	32.4980560	-97.0030560
481390006	DALLAS/FORT WORTH	04	32.5433330	-96.9266670
481390007	DALLAS/FORT WORTH	04	32.5316670	-96.9913890
481390008	DALLAS/FORT WORTH	04	32.4297220	-97.0177780
481390011	DALLAS/FORT WORTH	04	32.4813890	-96.9413890
481390012	DALLAS/FORT WORTH	04	32.4622220	-97.0372220
481390013	DALLAS/FORT WORTH	04	32.5013890	-97.0161110
481390014	DALLAS/FORT WORTH	04	32.5461110	-96.9552780
481390015	DALLAS/FORT WORTH	04	32.4366670	-97.0244440
481390016	DALLAS/FORT WORTH	04	32.4820829	-97.0268987
481390017	DALLAS/FORT WORTH	04	32.4736110	-97.0425000
481390082	DALLAS/FORT WORTH	04	32.3261110	-96.6636110
481390084	DALLAS/FORT WORTH	04	32.4613890	-97.0055560
481390650	DALLAS/FORT WORTH	04	32.1783330	-96.8780560
481391002	DALLAS/FORT WORTH	04	32.3875000	-96.8472220
481391044	DALLAS/FORT WORTH	04	32.1754166	-96.8701892
481410001	EL PASO	06	31.7608330	-106.4833330
481410002	EL PASO	06	31.7576535	-106.4829215
481410003	EL PASO	06	31.8375000	-106.5791670
481410004	EL PASO	06	31.5886110	-106.2286110
481410005	EL PASO	06	31.9972220	-106.5975000
481410006	EL PASO	06	31.6883330	-106.2075000
481410007	EL PASO	06	31.8322220	-106.5333330
481410008	EL PASO	06	31.7944440	-106.5138890
481410010	EL PASO	06	31.8997220	-106.4125000
481410011	EL PASO	06	31.7986110	-106.4000000
481410012	EL PASO	06	31.7916670	-106.3541670
481410013	EL PASO	06	31.8083330	-106.2361110
481410015	EL PASO	06	31.7388890	-106.3611110
481410016	EL PASO	06	31.7733330	-106.4077780
481410017	EL PASO	06	31.7597220	-106.4111110
481410018	EL PASO	06	31.7666670	-106.4388890
481410019	EL PASO	06	31.7875000	-106.4541670
481410020	EL PASO	06	31.8555560	-106.4461110
481410021	EL PASO	06	31.7269440	-106.3708330
481410022	EL PASO	06	31.7833330	-106.5250000
481410023	EL PASO	06	31.7438890	-106.5036110
481410024	EL PASO	06	31.7875000	-106.4708330
481410025	EL PASO	06	31.8441670	-106.5916670
481410027	EL PASO	06	31.7630560	-106.4866670
481410028	EL PASO	06	31.7516670	-106.4111110
481410029	EL PASO	06	31.7857687	-106.3235781
481410030	EL PASO	06	31.6786110	-106.3152780
481410031	EL PASO	06	31.7833330	-106.5230560
481410033	EL PASO	06	31.7772059	-106.5017115
481410036	EL PASO	06	31.8530560	-106.5925000
481410037	EL PASO	06	31.7682914	-106.5012595
481410038	EL PASO	06	31.7338000	-106.3721000
481410039	EL PASO	06	31.8077780	-106.5472220
481410040	EL PASO	06	31.7850000	-106.5011110
481410041	EL PASO	06	31.7605000	-106.5004000
481410042	EL PASO	06	31.7947220	-106.5075000
481410043	EL PASO	06	31.6522220	-106.2911110
481410044	EL PASO	06	31.7656854	-106.4552272
481410045	EL PASO	06	31.8466670	-106.5883330
481410047	EL PASO	06	31.7759422	-106.4131769
481410050	EL PASO	06	31.6727780	-106.2841670
481410051	EL PASO	06	31.8019440	-106.4205560
481410053	EL PASO	06	31.7585317	-106.5010446
481410054	EL PASO	06	31.7038461	-106.3560220
481410055	EL PASO	06	31.7467753	-106.4028059
481410057	EL PASO	06	31.6675000	-106.2880000
481410058	EL PASO	06	31.8939133	-106.4258270
481410059	EL PASO	06	31.8146081	-106.4641860
481410101	EL PASO	06	0	0
481410102	EL PASO	06	0	0
481410693	EL PASO	06	31.8133700	-106.4645200
481411002	EL PASO	06	31.8822220	-106.5827780
481411011	EL PASO	06	31.7584760	-106.4073460
481411021	EL PASO	06	31.8624700	-106.5473000
481490001	AUSTIN	11	29.9624745	-96.7458748
481570001	HOUSTON	12	29.5372220	-95.6355560
481570002	HOUSTON	12	29.4750000	-95.7897220
481570003	HOUSTON	12	29.4150000	-95.6527780
481570004	HOUSTON	12	29.5650000	-95.7988890
481570696	HOUSTON	12	29.5741000	-95.6497000
481670001	HOUSTON	12	29.4666670	-95.0583330
481670002	HOUSTON	12	29.3166670	-94.8000000
481670003	HOUSTON	12	29.2769440	-94.8208330
481670004	HOUSTON	12	29.3844440	-94.9308330
481670005	HOUSTON	12	29.3852338	-94.9315197
481670012	HOUSTON	12	29.3638890	-94.9486110
481670013	HOUSTON	12	29.3355560	-94.9297220
481670014	HOUSTON	12	29.2633190	-94.8565681
481670024	HOUSTON	12	29.3638890	-94.9500000
481670025	HOUSTON	12	29.5458330	-95.0263890
481670026	HOUSTON	12	29.5097220	-95.1000000
481670031	HOUSTON	12	29.3833330	-94.9000000
481670035	HOUSTON	12	29.3708330	-94.9500000
481670042	HOUSTON	12	29.3652780	-94.9791670
481670043	HOUSTON	12	29.3836110	-94.9819440
481670044	HOUSTON	12	29.3805560	-94.9625000
481670045	HOUSTON	12	29.3972220	-94.9486110
481670046	HOUSTON	12	29.4083330	-94.9083330
481670047	HOUSTON	12	29.2833330	-94.8236110
481670050	HOUSTON	12	29.3391670	-94.8091670
481670051	HOUSTON	12	29.3958330	-94.9866670
481670053	HOUSTON	12	29.3900000	-94.9194440
481670056	HOUSTON	12	29.4057000	-94.9471200
481670571	HOUSTON	12	29.5255560	-95.0705560
481670615	HOUSTON	12	29.3814500	-94.9410800
481670616	HOUSTON	12	29.3688600	-94.9154400
481670621	HOUSTON	12	29.3809810	-94.9302200
481670683	HOUSTON	12	29.3787000	-94.9101900
481670697	HOUSTON	12	29.3879000	-95.0414000
481671001	HOUSTON	12	29.5305560	-95.1986110
481671002	HOUSTON	12	29.3977780	-94.9333330
481671003	HOUSTON	12	29.3888890	-94.9041670
481671005	HOUSTON	12	29.5038890	-95.1044440
481671011	HOUSTON	12	29.3836110	-94.9180560
481671034	HOUSTON	12	29.2544736	-94.8612886
481671043	HOUSTON	12	29.3819440	-94.9819440
481672001	HOUSTON	12	29.3000000	-94.7958330
481673001	HOUSTON	12	29.3583330	-95.0000000
481674001	HOUSTON	12	29.5250000	-95.0694440
481675001	HOUSTON	12	29.4050000	-94.9208330
481675005	HOUSTON	12	29.2702780	-94.8641670
481750624	CORPUS CHRISTI	14	28.7209260	-97.2208820
481790001	AMARILLO	01	35.5525000	-100.9583330
481810001	DALLAS/FORT WORTH	04	33.7569440	-96.5352780
481810002	DALLAS/FORT WORTH	04	33.6416670	-96.6111110
481810003	DALLAS/FORT WORTH	04	33.6352780	-96.6152780
481830001	TYLER	05	32.3786823	-94.7118107
481830002	TYLER	05	32.6177780	-94.7788890
481870504	SAN ANTONIO	13	29.7041667	-98.0288889
481870506	SAN ANTONIO	13	29.5886110	-97.9322220
481875004	SAN ANTONIO	13	29.7086111	-98.0452778
481890001	LUBBOCK	02	34.1808330	-101.7363890
481990002	BEAUMONT	10	30.3813890	-94.3155560
482010001	HOUSTON	12	29.7230560	-94.9458330
482010002	HOUSTON	12	29.7494440	-94.9805560
482010003	HOUSTON	12	29.7730560	-95.0291670
482010004	HOUSTON	12	29.7702780	-95.0119440
482010005	HOUSTON	12	30.0519440	-95.4308330
482010006	HOUSTON	12	29.7911110	-95.1241670
482010007	HOUSTON	12	29.7208330	-95.3838890
482010008	HOUSTON	12	29.7000000	-95.4400000
482010009	HOUSTON	12	29.7100000	-95.5119440
482010010	HOUSTON	12	29.7408330	-95.4391670
482010011	HOUSTON	12	29.8200000	-95.4838890
482010012	HOUSTON	12	29.8561110	-95.3816670
482010013	HOUSTON	12	29.8272220	-95.2847220
482010014	HOUSTON	12	29.7747220	-95.2822220
482010015	HOUSTON	12	29.7694440	-95.2038890
482010016	HOUSTON	12	29.7777780	-95.1875000
482010017	HOUSTON	12	29.7330560	-95.2130560
482010018	HOUSTON	12	29.7472220	-95.1750000
482010019	HOUSTON	12	29.7458330	-95.2027780
482010020	HOUSTON	12	29.7519440	-95.1030560
482010021	HOUSTON	12	29.7202780	-95.2750000
482010023	HOUSTON	12	29.7250000	-95.0527780
482010024	HOUSTON	12	29.9010364	-95.3261373
482010025	HOUSTON	12	29.7486110	-95.1644440
482010026	HOUSTON	12	29.8027073	-95.1254948
482010029	HOUSTON	12	30.0395240	-95.6739508
482010030	HOUSTON	12	29.8542881	-95.1287108
482010031	HOUSTON	12	29.7786110	-95.1713890
482010036	HOUSTON	12	29.7761000	-95.1051000
482010038	HOUSTON	12	29.8377780	-95.2855560
482010039	HOUSTON	12	29.6125000	-95.2791670
482010040	HOUSTON	12	29.7330560	-95.5238890
482010041	HOUSTON	12	29.8013890	-95.4375000
482010042	HOUSTON	12	29.6341670	-95.2288890
482010043	HOUSTON	12	29.6377780	-95.3552780
482010044	HOUSTON	12	29.6972220	-95.4386110
482010045	HOUSTON	12	29.8344440	-95.4938890
482010046	HOUSTON	12	29.8280859	-95.2840958
482010047	HOUSTON	12	29.8341670	-95.4891670
482010048	HOUSTON	12	29.8566670	-95.3827780
482010049	HOUSTON	12	29.7758330	-95.3069440
482010050	HOUSTON	12	29.7725000	-95.2052780
482010051	HOUSTON	12	29.6238890	-95.4741670
482010052	HOUSTON	12	29.7275000	-95.2763890
482010053	HOUSTON	12	29.7872220	-95.1916670
482010054	HOUSTON	12	29.7758330	-95.3075000
482010055	HOUSTON	12	29.6957294	-95.4992190
482010056	HOUSTON	12	29.7769440	-95.3358330
482010057	HOUSTON	12	29.7342310	-95.2384690
482010058	HOUSTON	12	29.7706975	-95.0312316
482010059	HOUSTON	12	29.7058330	-95.2811110
482010060	HOUSTON	12	29.8074146	-95.2936223
482010061	HOUSTON	12	29.6150008	-95.0181324
482010062	HOUSTON	12	29.6255560	-95.2672220
482010063	HOUSTON	12	29.7250000	-95.3500000
482010064	HOUSTON	12	29.6994440	-95.2688890
482010066	HOUSTON	12	29.7233330	-95.6358330
482010068	HOUSTON	12	29.9475484	-95.5428231
482010069	HOUSTON	12	29.7062492	-95.2611301
482010070	HOUSTON	12	29.7351200	-95.3156000
482010071	HOUSTON	12	29.7164829	-95.2013298
482010075	HOUSTON	12	29.7527780	-95.3502780
482010101	HOUSTON	12	0	0
482010307	HOUSTON	12	29.7187990	-95.2599093
482010416	HOUSTON	12	29.6863890	-95.2947220
482010551	HOUSTON	12	29.8586111	-95.1602778
482010552	HOUSTON	12	29.7330556	-94.9847222
482010553	HOUSTON	12	29.9208333	-95.0683333
482010554	HOUSTON	12	29.8330556	-95.6569444
482010555	HOUSTON	12	30.0547222	-95.1850000
482010556	HOUSTON	12	29.6552778	-95.0097222
482010557	HOUSTON	12	30.0380556	-95.3811111
482010558	HOUSTON	12	29.5894444	-95.3536111
482010559	HOUSTON	12	29.8105556	-95.8061111
482010560	HOUSTON	12	29.9619440	-95.2350000
482010561	HOUSTON	12	30.0116670	-95.5225000
482010562	HOUSTON	12	29.7783330	-95.5380560
482010563	HOUSTON	12	30.0578600	-95.0614700
482010570	HOUSTON	12	29.5488889	-95.1852778
482010572	HOUSTON	12	29.5833330	-95.1050000
482010617	HOUSTON	12	29.8213890	-94.9900000
482010669	HOUSTON	12	29.6947220	-95.2527780
482010670	HOUSTON	12	29.7019440	-95.2572220
482010671	HOUSTON	12	29.7061110	-95.2550000
482010672	HOUSTON	12	29.6891592	-95.2038208
482010673	HOUSTON	12	29.7023000	-95.2566970
482010688	HOUSTON	12	&nbsp;	&nbsp;
482010695	HOUSTON	12	29.7176000	-95.3414000
482010803	HOUSTON	12	29.7647877	-95.1785379
482010804	HOUSTON	12	29.8347220	-95.1319440
482010807	HOUSTON	12	29.7688890	-95.0175000
482010808	HOUSTON	12	29.6461110	-95.0563890
482011001	HOUSTON	12	29.6980560	-95.1238890
482011002	HOUSTON	12	29.7283330	-95.1205560
482011003	HOUSTON	12	29.6791670	-95.1308330
482011004	HOUSTON	12	29.9366670	-95.6538890
482011005	HOUSTON	12	29.6375000	-95.3552780
482011006	HOUSTON	12	29.7227780	-95.3458330
482011008	HOUSTON	12	29.6700000	-95.1936110
482011015	HOUSTON	12	29.7616528	-95.0813861
482011017	HOUSTON	12	29.8233190	-94.9837860
482011018	HOUSTON	12	29.7750000	-95.3083330
482011024	HOUSTON	12	29.7730560	-95.6100000
482011025	HOUSTON	12	29.6469440	-95.4825000
482011026	HOUSTON	12	29.8302780	-95.4402780
482011027	HOUSTON	12	29.6555560	-95.2805560
482011028	HOUSTON	12	29.7183330	-95.1872220
482011029	HOUSTON	12	29.6252780	-95.1986110
482011034	HOUSTON	12	29.7679965	-95.2205822
482011035	HOUSTON	12	29.7337263	-95.2575931
482011037	HOUSTON	12	29.7511110	-95.3616670
482011039	HOUSTON	12	29.6700250	-95.1285077
482011040	HOUSTON	12	29.6130560	-95.1733330
482011041	HOUSTON	12	29.7519440	-95.0833330
482011042	HOUSTON	12	30.0584604	-95.1897514
482011043	HOUSTON	12	29.6720000	-95.0647000
482011049	HOUSTON	12	29.7166110	-95.2224669
482011050	HOUSTON	12	29.5830473	-95.0155437
482011052	HOUSTON	12	29.8145300	-95.3876900
482011054	HOUSTON	12	29.8853560	-95.3523830
482011066	HOUSTON	12	29.7216000	-95.4926500
482012001	HOUSTON	12	29.7316670	-95.2405560
482012002	HOUSTON	12	29.7344440	-95.2386110
482012003	HOUSTON	12	29.6986110	-95.5677780
482012004	HOUSTON	12	29.6369440	-95.2283330
482012005	HOUSTON	12	29.6977780	-95.2183330
482012006	HOUSTON	12	29.6538890	-95.1180560
482013001	HOUSTON	12	29.7605560	-95.3702780
482013002	HOUSTON	12	29.7563890	-95.3702780
482013003	HOUSTON	12	29.7205560	-95.2838890
482014001	HOUSTON	12	29.7694440	-95.2450000
482014002	HOUSTON	12	29.6594440	-95.0158330
482014003	HOUSTON	12	29.7166670	-95.2000000
482015001	HOUSTON	12	29.6630560	-95.0250000
482015002	HOUSTON	12	29.7130560	-95.2125000
482016000	HOUSTON	12	29.6843603	-95.2535982
482016001	HOUSTON	12	0	0
482017001	HOUSTON	12	29.5719440	-95.0166670
482018001	HOUSTON	12	29.6655560	-95.2388890
482019001	HOUSTON	12	30.0919440	-95.6219440
